id,stationName,latitude,longitude,addr,item,created_at,updated_at
107,경춘로,37.609158,127.163109,경기도 남양주시 경춘로 433도농역 앞 (다산동),"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
108,와부읍,37.580842,127.226766,경기도 남양주시 와부읍 도곡길 7덕소중학교 후관동 옥상,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
109,진접읍,37.72627,127.189881,경기도 남양주시 진접읍 금강로 1509-26진접오남행정복지센터 옥상,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
110,비전동,36.9913,127.1126,경기 평택시 중앙로 275자원봉사센터,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
111,안중,36.9859,126.9314,경기 평택시 안중읍 안현로 400안중읍행정복지센터,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
112,평택항,36.974605,126.84554,경기 평택시 포승읍 평택항로184번길 38한국산업단지공단 평택지사,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
113,송북동,37.081564,127.060117,경기도 평택시 지산2로 113송북동행정복지센터 (지산동),"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
114,청북읍,37.0204,126.9182,경기도 평택시 청북읍 안청로2길 60청북문화센터,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
115,고덕면,37.05311,127.046172,경기도 평택시 고덕면 고덕국제2로 111종덕초등학교 2층 옥상,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
116,금촌동,37.756308,126.773898,경기 파주시 후곡로 13교육문화회관 별관,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
117,운정,37.723148,126.756434,경기 파주시 와석순환로 470한국토지주택공사 파주사업본부,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
118,파주,37.906227,126.73108,경기 파주시 군내면 통일촌길220 (장단출장소 내),"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
119,파주읍,37.8309,126.833,경기도 파주시 파주읍 교육길 13민방위교육장,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
120,행신동,37.6251,126.8423,경기 고양시 덕양구 화신로 148 행신배수지가라산공원,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
121,식사동,37.685514,126.813441,경기 고양시 일산동구 위시티로 151양일초등학교,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
